XUp10,YUp10,XDn10,YDn10,XUp5,YUp5,XDn5,YDn5,XBis,YBis
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.010,0.011,0.010,0.009,0.010,0.011,0.010,0.010,0.010,0.010
0.050,0.055,0.050,0.045,0.050,0.053,0.050,0.048,0.050,0.050
0.100,0.110,0.100,0.090,0.100,0.105,0.100,0.095,0.100,0.100
0.150,0.165,0.150,0.135,0.150,0.158,0.150,0.143,0.150,0.150
0.200,0.220,0.200,0.180,0.200,0.210,0.200,0.190,0.200,0.200
0.250,0.275,0.250,0.225,0.250,0.263,0.250,0.238,0.250,0.250
0.300,0.330,0.300,0.270,0.300,0.315,0.300,0.285,0.300,0.300
0.350,0.385,0.350,0.315,0.350,0.368,0.350,0.333,0.350,0.350
0.400,0.440,0.400,0.360,0.400,0.420,0.400,0.380,0.400,0.400
0.450,0.495,0.450,0.405,0.450,0.473,0.450,0.428,0.450,0.450
0.500,0.550,0.500,0.450,0.500,0.525,0.500,0.475,0.500,0.500
0.550,0.605,0.550,0.495,0.550,0.578,0.550,0.523,0.550,0.550
0.600,0.660,0.600,0.540,0.600,0.630,0.600,0.570,0.600,0.600
0.650,0.715,0.650,0.585,0.650,0.683,0.650,0.618,0.650,0.650
0.700,0.770,0.700,0.630,0.700,0.735,0.700,0.665,0.700,0.700
0.750,0.825,0.750,0.675,0.750,0.788,0.750,0.713,0.750,0.750
0.800,0.880,0.800,0.720,0.800,0.840,0.800,0.760,0.800,0.800
0.850,0.935,0.850,0.765,0.850,0.893,0.850,0.808,0.850,0.850
0.900,0.990,0.900,0.810,0.900,0.945,0.900,0.855,0.900,0.900
0.950,1.045,0.950,0.855,0.950,0.998,0.950,0.903,0.950,0.950
1.000,1.100,1.000,0.900,1.000,1.050,1.000,0.950,1.000,1.000
1.050,1.155,1.050,0.945,1.050,1.103,1.050,0.998,1.050,1.050
1.100,1.210,1.100,0.990,1.100,1.155,1.100,1.045,1.100,1.100
1.150,1.265,1.150,1.035,1.150,1.208,1.150,1.093,1.150,1.150
1.200,1.320,1.200,1.080,1.200,1.260,1.200,1.140,1.200,1.200
1.250,1.375,1.250,1.125,1.250,1.313,1.250,1.188,1.250,1.250
1.300,1.430,1.300,1.170,1.300,1.365,1.300,1.235,1.300,1.300
1.350,1.485,1.350,1.215,1.350,1.418,1.350,1.283,1.350,1.350
1.400,1.540,1.400,1.260,1.400,1.470,1.400,1.330,1.400,1.400
1.450,1.595,1.450,1.305,1.450,1.523,1.450,1.378,1.450,1.450
1.500,1.650,1.500,1.350,1.500,1.575,1.500,1.425,1.500,1.500
1.550,1.705,1.550,1.395,1.550,1.628,1.550,1.473,1.550,1.550
1.600,1.760,1.600,1.440,1.600,1.680,1.600,1.520,1.600,1.600
1.650,1.815,1.650,1.485,1.650,1.733,1.650,1.568,1.650,1.650
1.700,1.870,1.700,1.530,1.700,1.785,1.700,1.615,1.700,1.700
1.750,1.925,1.750,1.575,1.750,1.838,1.750,1.663,1.750,1.750
1.800,1.980,1.800,1.620,1.800,1.890,1.800,1.710,1.800,1.800
1.850,2.035,1.850,1.665,1.850,1.943,1.850,1.758,1.850,1.850
1.900,2.090,1.900,1.710,1.900,1.995,1.900,1.805,1.900,1.900
1.950,2.145,1.950,1.755,1.950,2.048,1.950,1.853,1.950,1.950
2.000,2.200,2.000,1.800,2.000,2.100,2.000,1.900,2.000,2.000
2.050,2.255,2.050,1.845,2.050,2.153,2.050,1.948,2.050,2.050
2.100,2.310,2.100,1.890,2.100,2.205,2.100,1.995,2.100,2.100
2.150,2.365,2.150,1.935,2.150,2.258,2.150,2.043,2.150,2.150
2.200,2.420,2.200,1.980,2.200,2.310,2.200,2.090,2.200,2.200
2.250,2.475,2.250,2.025,2.250,2.363,2.250,2.138,2.250,2.250
2.300,2.530,2.300,2.070,2.300,2.415,2.300,2.185,2.300,2.300
2.350,2.585,2.350,2.115,2.350,2.468,2.350,2.233,2.350,2.350
2.400,2.640,2.400,2.160,2.400,2.520,2.400,2.280,2.400,2.400
2.450,2.695,2.450,2.205,2.450,2.573,2.450,2.328,2.450,2.450
2.500,2.750,2.500,2.250,2.500,2.625,2.500,2.375,2.500,2.500
2.550,2.805,2.550,2.295,2.550,2.678,2.550,2.423,2.550,2.550
2.600,2.860,2.600,2.340,2.600,2.730,2.600,2.470,2.600,2.600
2.650,2.915,2.650,2.385,2.650,2.783,2.650,2.518,2.650,2.650
2.700,2.970,2.700,2.430,2.700,2.835,2.700,2.565,2.700,2.700
2.750,3.025,2.750,2.475,2.750,2.888,2.750,2.613,2.750,2.750
2.800,3.080,2.800,2.520,2.800,2.940,2.800,2.660,2.800,2.800
2.850,3.135,2.850,2.565,2.850,2.993,2.850,2.708,2.850,2.850
2.900,3.190,2.900,2.610,2.900,3.045,2.900,2.755,2.900,2.900
2.950,3.245,2.950,2.655,2.950,3.098,2.950,2.803,2.950,2.950
3.000,3.300,3.000,2.700,3.000,3.150,3.000,2.850,3.000,3.000
3.050,3.355,3.050,2.745,3.050,3.203,3.050,2.898,3.050,3.050
3.100,3.410,3.100,2.790,3.100,3.255,3.100,2.945,3.100,3.100
3.150,3.465,3.150,2.835,3.150,3.308,3.150,2.993,3.150,3.150
3.200,3.520,3.200,2.880,3.200,3.360,3.200,3.040,3.200,3.200
3.250,3.575,3.250,2.925,3.250,3.413,3.250,3.088,3.250,3.250
3.300,3.630,3.300,2.970,3.300,3.465,3.300,3.135,3.300,3.300
3.350,3.685,3.350,3.015,3.350,3.518,3.350,3.183,3.350,3.350
3.400,3.740,3.400,3.060,3.400,3.570,3.400,3.230,3.400,3.400
3.450,3.795,3.450,3.105,3.450,3.623,3.450,3.278,3.450,3.450
3.500,3.850,3.500,3.150,3.500,3.675,3.500,3.325,3.500,3.500
3.550,3.905,3.550,3.195,3.550,3.728,3.550,3.373,3.550,3.550
3.600,3.960,3.600,3.240,3.600,3.780,3.600,3.420,3.600,3.600
3.650,4.015,3.650,3.285,3.650,3.833,3.650,3.468,3.650,3.650
3.700,4.070,3.700,3.330,3.700,3.885,3.700,3.515,3.700,3.700
3.750,4.125,3.750,3.375,3.750,3.938,3.750,3.563,3.750,3.750
